CountryName,CountryCode,Population growth,Total population,Area (sq. km),Coronavirus Cases,A,B,C
Brazil,BRA,0.8175557109999999,207652865.0,8358140.0,59324,0.0,1.0,0.0
Switzerland,CHE,1.077221168,8372098.0,39516.0,29061,0.0,1.0,0.0
Germany,DEU,1.193866758,82667685.0,348900.0,156727,1.0,0.0,0.0
Denmark,DNK,0.8346376109999999,4998162.0,42262.0,8575,0.0,1.0,0.0
Spain,ESP,-0.008048086,46443959.0,500210.0,223759,1.0,0.0,0.0
France,FRA,0.40749103600000003,66896109.0,547557.0,161488,1.0,0.0,0.0
Japan,JPN,-0.11528417699999999,126994511.0,364560.0,13231,0.0,1.0,0.0
Greece,GRC,-0.687542545,10746740.0,128900.0,2506,0.0,0.0,1.0
Iran,IRN,1.1487886,80277428.0,1628760.0,90481,0.0,0.0,0.0
Kuwait,KWT,2.924206194,4052584.0,31129.33333333333,3075,0.0,0.0,1.0
Morocco,MAR,0.04634899333333335,35276786.0,446300.0,4047,0.0,0.0,1.0
Nigeria,NGA,2.619033526,185989640.0,910770.0,1182,0.0,0.0,0.0
Qatar,QAT,3.495069918,2569804.0,11610.0,10287,0.0,1.0,0.0
Sweden,SWE,0.4081054113333333,9903122.0,407310.0,18640,0.0,0.0,1.0
India,IND,1.148214693,1324171354.0,2973190.0,26917,0.0,1.0,0.0
