CountryName,CountryCode,Population growth,Total population,Area (sq. km),Coronavirus Cases,A,B,C
Brazil,BRA,-0.17853398255324085,0.1905253618012508,3.4873206619337886,59324,0.0,1.0,0.0
Switzerland,CHE,0.049736368110167024,-0.4300160795695372,-0.5183286133801656,29061,0.0,1.0,0.0
Germany,DEU,0.1522788088347341,-0.19866665564610966,-0.3693515956193277,156727,1.0,0.0,0.0
Denmark,DNK,-0.16351738639891578,-0.4405221968434274,-0.5170063378559909,8575,0.0,1.0,0.0
Spain,ESP,-0.9043173440660932,-0.3114639088996587,-0.296491613986818,223759,1.0,0.0,0.0
France,FRA,-0.5390193864971562,-0.24777785012344195,-0.2736927140439561,161488,1.0,0.0,0.0
Japan,JPN,-0.9985879504808042,-0.06063711616008336,-0.36181086921416544,13231,0.0,1.0,0.0
Greece,GRC,-1.5016568601564932,-0.42262166920268224,-0.4752877264709048,2506,0.0,0.0,1.0
Iran,IRN,0.11265086966714398,-0.20610968964460197,0.2469366608883973,90481,0.0,0.0,0.0
Kuwait,KWT,1.673409861019482,-0.44346663721206825,-0.5223670270956591,3075,0.0,0.0,1.0
Morocco,MAR,-0.8564971968738341,-0.34623742836055554,-0.3224507813241295,4047,0.0,0.0,1.0
Nigeria,NGA,1.405134393261567,0.12306813013453563,-0.0987955327030748,1182,0.0,0.0,0.0
Qatar,QAT,2.175252747493592,-0.4480838737486768,-0.5317661300508206,10287,0.0,1.0,0.0
Sweden,SWE,-0.5384792928150806,-0.4252486157844682,-0.34122555287823403,18640,0.0,0.0,1.0
India,IND,0.1121463514549344,3.667258229259526,0.8943171718010602,26917,0.0,1.0,0.0
